GROUP,DENSITY,npp,biodiv,pathos,ID,DENZ,ID2,biodivZ,nppZ,pathosZ
Netsilik Inuit,0.0025,107.7059943,0.038545333,-0.931335918,HG,-0.659722222,0,-1.610390479,-1.412618296,-1.134596072
Utkuhikhalingmiut,0.0038,133.8123034,0.043994998,-0.959833334,HG,-0.656111111,0,-1.5714643,-1.374728152,-1.188364781
Copper Inuit,0.0043,141.628487,0.049675091,-0.947429508,HG,-0.654722222,0,-1.530892207,-1.363383909,-1.164961336
Ingulik Inuit,0.0018,146.5245493,0.034777847,-0.947526693,HG,-0.661666667,0,-1.637301093,-1.356277867,-1.165144704
Yukaghir,0.0061,148.1919617,0.073694789,-0.715392752,HG,-0.649722222,0,-1.359322936,-1.35385782,-0.727156136
Nganasan,0.0046,151.5808916,0.043012354,-0.709283124,HG,-0.653888889,0,-1.578483186,-1.348939199,-0.715628536
Monache,0.287,162.7471189,0.167183975,-0.721036086,HG,0.130555556,0,-0.691543036,-1.332732774,-0.737803936
Siberian Eskimo,0.047,165.8834675,0.084731669,-0.681886661,HG,-0.536111111,0,-1.280488079,-1.328180744,-0.663937096
Caribou Inuit,0.003,165.8834675,0.048520337,-0.971893803,HG,-0.658333333,0,-1.53914045,-1.328180744,-1.211120383
Nunamiut Inuit,0.0096,165.8834675,0.073598472,-0.878218965,HG,-0.64,0,-1.360010914,-1.328180744,-1.034375406
Polar Inuit,0.0041,167.7582278,0.031370222,-0.908415203,HG,-0.655277778,0,-1.661641271,-1.325459756,-1.09134944
Aivilingmiut Inuit,0.0032,169.6529077,0.045059049,-0.968727473,HG,-0.657777778,0,-1.563863936,-1.322709858,-1.205146175
Tareumiut Inuit,0.0386,177.4344959,0.059749462,-0.82661062,HG,-0.559444444,0,-1.458932414,-1.311415826,-0.93700117
Death Valley,0.0129,211.3090598,0.164160712,-0.72379418,HG,-0.630833333,0,-0.713137771,-1.262251002,-0.743007887
